Index,CASRN,Chemical.Name,Source,Toxicity.Value,Organ,Reference,Effect,Dose.Converted,X.Doses,Dose,Dose.Unit1,Dose.Unit2,Final.Dose,N.Animal,Obs.Animal,Species,Strain,Sex,Effect.Sex,Route,No.Days,Duration,Duration.type
3,50293,DDT,IRIS,0.34,liver,"Cabral, J.R.P., R.K. Hall, L. Rossi, S.A. Bronczyk and P. Shubik. 1982. Effects of long-term intake of DDT on rats. Tumorigenesis. 68: 11-17.",liver-cell tumors,Conv,4,6,mg/kg/day,ppm,6,30,2,Rat,Porton,M/F,F,Oral diet,NA,144,Weeks
3,50293,DDT,IRIS,0.34,liver,"Cabral, J.R.P., R.K. Hall, L. Rossi, S.A. Bronczyk and P. Shubik. 1982. Effects of long-term intake of DDT on rats. Tumorigenesis. 68: 11-17.",liver-cell tumors,Conv,4,12,mg/kg/day,ppm,12,30,4,Rat,Porton,M/F,F,Oral diet,NA,144,Weeks
3,50293,DDT,IRIS,0.34,liver,"Cabral, J.R.P., R.K. Hall, L. Rossi, S.A. Bronczyk and P. Shubik. 1982. Effects of long-term intake of DDT on rats. Tumorigenesis. 68: 11-17.",liver-cell tumors,Conv,4,24,mg/kg/day,ppm,24,38,7,Rat,Porton,M/F,F,Oral diet,NA,144,Weeks
4,50293,DDT,IRIS,0.34,liver,"Terracini, B., M.C. Testa, J.R. Cabral and N. Day. 1973. The effects of long-term feeding of DDT
to BALB/c mice. Int. J. Cancer. 11: 747-764.",benign liver tumors,Dose,4,0,ppm diet,,0,107,2,Mouse,BALB/C,M/F,M,Oral diet,NA,2,Generations
4,50293,DDT,IRIS,0.34,liver,"Terracini, B., M.C. Testa, J.R. Cabral and N. Day. 1973. The effects of long-term feeding of DDT
to BALB/c mice. Int. J. Cancer. 11: 747-764.",benign liver tumors,Dose,4,2,ppm diet,,0.343163539,112,3,Mouse,BALB/C,M/F,M,Oral diet,NA,2,Generations
4,50293,DDT,IRIS,0.34,liver,"Terracini, B., M.C. Testa, J.R. Cabral and N. Day. 1973. The effects of long-term feeding of DDT
to BALB/c mice. Int. J. Cancer. 11: 747-764.",benign liver tumors,Dose,4,20,ppm diet,,3.431635389,106,1,Mouse,BALB/C,M/F,M,Oral diet,NA,2,Generations
4,50293,DDT,IRIS,0.34,liver,"Terracini, B., M.C. Testa, J.R. Cabral and N. Day. 1973. The effects of long-term feeding of DDT
to BALB/c mice. Int. J. Cancer. 11: 747-764.",benign liver tumors,Dose,4,250,ppm diet,,42.89544236,106,15,Mouse,BALB/C,M/F,M,Oral diet,NA,2,Generations
5,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,0,ppm,ppm,0,348,104,Mouse,CF-1,M/F,M,Oral diet,NA,130,Weeks
5,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,2,ppm,ppm,0.343163539,362,181,Mouse,CF-1,M/F,M,Oral diet,NA,130,Weeks
5,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,10,ppm,ppm,1.715817694,367,184,Mouse,CF-1,M/F,M,Oral diet,NA,130,Weeks
5,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,50,ppm,ppm,8.579088472,396,257,Mouse,CF-1,M/F,M,Oral diet,NA,130,Weeks
5,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,250,ppm,ppm,42.89544236,372,298,Mouse,CF-1,M/F,M,Oral diet,NA,130,Weeks
6,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,0,ppm,ppm,0,363,18,Mouse,CF-1,M/F,F,Oral diet,NA,130,Weeks
6,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,2,ppm,ppm,0.345609065,354,18,Mouse,CF-1,M/F,F,Oral diet,NA,130,Weeks
6,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,10,ppm,ppm,1.728045326,370,37,Mouse,CF-1,M/F,F,Oral diet,NA,130,Weeks
6,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,50,ppm,ppm,8.640226629,349,45,Mouse,CF-1,M/F,F,Oral diet,NA,130,Weeks
6,50293,DDT,IRIS,0.34,liver,"Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.",benign liver tumors,Dose,5,250,ppm,ppm,43.20113314,334,200,Mouse,CF-1,M/F,F,Oral diet,NA,130,Weeks
7,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,0,ppm,ppm,0,328,97,Mouse,CF-1,M/F,M,Oral diet,NA,6,Generations
7,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,2,ppm,ppm,0.343163539,354,179,Mouse,CF-1,M/F,M,Oral diet,NA,6,Generations
7,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,10,ppm,ppm,1.715817694,362,181,Mouse,CF-1,M/F,M,Oral diet,NA,6,Generations
7,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,50,ppm,ppm,8.579088472,383,214,Mouse,CF-1,M/F,M,Oral diet,NA,6,Generations
7,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,250,ppm,ppm,42.89544236,350,301,Mouse,CF-1,M/F,M,Oral diet,NA,6,Generations
8,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,0,ppm,ppm,0,340,16,Mouse,CF-1,M/F,F,Oral diet,NA,6,Generations
8,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,2,ppm,ppm,0.345609065,339,12,Mouse,CF-1,M/F,F,Oral diet,NA,6,Generations
8,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,10,ppm,ppm,1.728045326,355,32,Mouse,CF-1,M/F,F,Oral diet,NA,6,Generations
8,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,50,ppm,ppm,8.640226629,328,43,Mouse,CF-1,M/F,F,Oral diet,NA,6,Generations
8,50293,DDT,IRIS,0.34,liver,"Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.",benign liver tumors,Dose,5,250,ppm,ppm,43.20113314,293,192,Mouse,CF-1,M/F,F,Oral diet,NA,6,Generations
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,0,,ppm,0,289,0,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,0.078,,ppm,0.172176309,25,0,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,0.781,,ppm,1.721763085,24,0,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,1.563,,ppm,3.443526171,23,1,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,2.344,,ppm,5.165289256,37,0,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,3.126,,ppm,6.887052342,40,1,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,3.516,,ppm,7.747933884,40,4,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,3.908,,ppm,8.608815427,34,24,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,7.815,,ppm,17.21763085,23,19,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
9,50328,Benzo(a)pyrene,CalEPA,12,stomach/forestomach,"Neal J and Rigdon RH. 1967. Gastric tumors in mice fed benzo[a]pyrene: a quantitative study. Texas Reports Biol Med 25:553-557.

U.S. Environmental Protection Agency (US EPA). 1984. Health Effects Assessment for Benzo[a]pyrene. EPA 540/1-86-022. Environmental Criteria and Assessment Office, Cincinnati, OH.",gastric tumors,Dose,10,19.538,,ppm,43.04407713,73,66,Mouse,CFW,M/F,Both,Oral diet,NA,6-Apr,Months
10,50328,Benzo(a)pyrene,IRIS,7.3,combined,"Brune, H., R.P. Deutsch-Wenzel, M. Habs, S. Ivankovic and D. Schmahl. 1981. Investigation of the tumorigenic response to benzo[a]pyrene in aqueous caffeine solution applied orally to Sprague-Dawley rats. J. Cancer Res. Clin. Oncol. 102(2): 153-157.","forestomach, larynx and esophagus, papillomas and carcinomas (combined)",Dose,3,0,ppm,ppm,0,64,3,Rat,Sprague-Dawley,M/F,Both,Oral diet,NA,,Duration
10,50328,Benzo(a)pyrene,IRIS,7.3,combined,"Brune, H., R.P. Deutsch-Wenzel, M. Habs, S. Ivankovic and D. Schmahl. 1981. Investigation of the tumorigenic response to benzo[a]pyrene in aqueous caffeine solution applied orally to Sprague-Dawley rats. J. Cancer Res. Clin. Oncol. 102(2): 153-157.","forestomach, larynx and esophagus, papillomas and carcinomas (combined)",Dose,3,6,ppm,ppm,0.438053097,64,3,Rat,Sprague-Dawley,M/F,Both,Oral diet,NA,,Duration
10,50328,Benzo(a)pyrene,IRIS,7.3,combined,"Brune, H., R.P. Deutsch-Wenzel, M. Habs, S. Ivankovic and D. Schmahl. 1981. Investigation of the tumorigenic response to benzo[a]pyrene in aqueous caffeine solution applied orally to Sprague-Dawley rats. J. Cancer Res. Clin. Oncol. 102(2): 153-157.","forestomach, larynx and esophagus, papillomas and carcinomas (combined)",Dose,3,39,ppm,ppm,2.847345133,64,10,Rat,Sprague-Dawley,M/F,Both,Oral diet,NA,,Duration
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,0,ppm,ppm,0,289,0,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,1,ppm,ppm,0.172176309,25,0,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,10,ppm,ppm,1.721763085,24,0,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,20,ppm,ppm,3.443526171,23,1,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,30,ppm,ppm,5.165289256,37,0,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,40,ppm,ppm,6.887052342,40,1,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,45,ppm,ppm,7.747933884,40,4,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,50,ppm,ppm,8.608815427,34,24,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,100,ppm,ppm,17.21763085,23,19,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
11,50328,Benzo(a)pyrene,IRIS,7.3,stomach/forestomach,"Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas",Dose,10,250,ppm,ppm,43.04407713,73,66,Mouse,Swiss,Unspecified,Both,Oral diet,NA,up to 197,Days
12,50555,Reserpine,CalEPA,11,adrenal glands,"National Cancer Institute (NCI, 1982). Bioassay of Reserpine for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 193. NTIS Publication
No. PB 83165761. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",benign and malignant adrenal tumors,Dose,3,0,ppm,ppm,0,48,3,Rat,Fischer 344,M/F,M,Oral diet,NA,103,Weeks
12,50555,Reserpine,CalEPA,11,adrenal glands,"National Cancer Institute (NCI, 1982). Bioassay of Reserpine for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 193. NTIS Publication
No. PB 83165761. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",benign and malignant adrenal tumors,Dose,3,5,ppm,ppm,0.394736842,49,18,Rat,Fischer 344,M/F,M,Oral diet,NA,103,Weeks
12,50555,Reserpine,CalEPA,11,adrenal glands,"National Cancer Institute (NCI, 1982). Bioassay of Reserpine for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 193. NTIS Publication
No. PB 83165761. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",benign and malignant adrenal tumors,Dose,3,10,ppm,ppm,0.789473684,48,24,Rat,Fischer 344,M/F,M,Oral diet,NA,103,Weeks
13,51796,Urethane,CalEPA,1,lung,"Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.",pulmonary adenoma,Dose,5,0,mg/kg,mg/kg,0,40,0,Mouse,NMRI,M/F,M,Oral drinking water,NA,,Duration
13,51796,Urethane,CalEPA,1,lung,"Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.",pulmonary adenoma,Dose,5,0.1,mg/kg,mg/kg,0.1,40,6,Mouse,NMRI,M/F,M,Oral drinking water,NA,,Duration
13,51796,Urethane,CalEPA,1,lung,"Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.",pulmonary adenoma,Dose,5,0.5,mg/kg,mg/kg,0.5,40,14,Mouse,NMRI,M/F,M,Oral drinking water,NA,,Duration
13,51796,Urethane,CalEPA,1,lung,"Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.",pulmonary adenoma,Dose,5,2.5,mg/kg,mg/kg,2.5,40,14,Mouse,NMRI,M/F,M,Oral drinking water,NA,,Duration
13,51796,Urethane,CalEPA,1,lung,"Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.",pulmonary adenoma,Dose,5,12.5,mg/kg,mg/kg,12.5,40,14,Mouse,NMRI,M/F,M,Oral drinking water,NA,,Duration
14,52244,Tris(1-aziridinyl)phosphine sulfide,CalEPA,12,blood,"National Cancer Institute (NCI, 1978). Bioassay ofTris(1-aziridinyI)phosphine Sulfide (Thiotepa) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 58. NTIS Publication No. PB 285702. US Department of Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.",leukemia (combined lymphocytic and granulocytic),Dose,3,0,mg/kg bw,mg/kg bw,0,19,0,Rat,Sprague-Dawley,M/F,M,Other,NA,104,Weeks
