"Index","CASRN","Chemical.Name","Source","Toxicity.Value","Organ","Reference","Effect","Dose.Converted","X.Doses","Dose","Dose.Unit1","Dose.Unit2","N.Animal","Obs.Animal","Species","Strain","Sex","Effect.Sex","Route","No.Days","Duration","Duration.type"
6,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"50.0","ppm","ppm","349","45","Mouse","CF-1","M/F","F","Oral diet",NA,"130","Weeks"
6,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"250.0","ppm","ppm","334","200","Mouse","CF-1","M/F","F","Oral diet",NA,"130","Weeks"
7,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"0.0","ppm","ppm","328","97","Mouse","CF-1","M/F","M","Oral diet",NA,"6","Generations"
7,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"2.0","ppm","ppm","354","179","Mouse","CF-1","M/F","M","Oral diet",NA,"6","Generations"
7,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"10.0","ppm","ppm","362","181","Mouse","CF-1","M/F","M","Oral diet",NA,"6","Generations"
7,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"50.0","ppm","ppm","383","214","Mouse","CF-1","M/F","M","Oral diet",NA,"6","Generations"
7,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"250.0","ppm","ppm","350","301","Mouse","CF-1","M/F","M","Oral diet",NA,"6","Generations"
8,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"0.0","ppm","ppm","340","16","Mouse","CF-1","M/F","F","Oral diet",NA,"6","Generations"
8,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"2.0","ppm","ppm","339","12","Mouse","CF-1","M/F","F","Oral diet",NA,"6","Generations"
8,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"10.0","ppm","ppm","355","32","Mouse","CF-1","M/F","F","Oral diet",NA,"6","Generations"
8,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"50.0","ppm","ppm","328","43","Mouse","CF-1","M/F","F","Oral diet",NA,"6","Generations"
8,50293,"DDT","IRIS",0.34,"liver","Turusov, V.S., N.E. Day, L. Tomatis, E. Gati and R.T. Charles. 1973. Tumors in CF-1 mice
exposed for six consecutive generations to DDT. J. Natl. Cancer Inst. 51: 983-998.","benign liver tumors","Dose",5,"250.0","ppm","ppm","293","192","Mouse","CF-1","M/F","F","Oral diet",NA,"6","Generations"
9,50328,"Benzo(a)pyrene","IRIS",7.3,"combined","Brune, H., R.P. Deutsch-Wenzel, M. Habs, S. Ivankovic and D. Schmahl. 1981. Investigation of the tumorigenic response to benzo[a]pyrene in aqueous caffeine solution applied orally to Sprague-Dawley rats. J. Cancer Res. Clin. Oncol. 102(2): 153-157.","forestomach, larynx and esophagus, papillomas and carcinomas (combined)","Dose",3,"0.0","ppm","ppm","64","3","Rat","Sprague-Dawley","M/F","Both","Oral diet",NA,"","Duration"
9,50328,"Benzo(a)pyrene","IRIS",7.3,"combined","Brune, H., R.P. Deutsch-Wenzel, M. Habs, S. Ivankovic and D. Schmahl. 1981. Investigation of the tumorigenic response to benzo[a]pyrene in aqueous caffeine solution applied orally to Sprague-Dawley rats. J. Cancer Res. Clin. Oncol. 102(2): 153-157.","forestomach, larynx and esophagus, papillomas and carcinomas (combined)","Dose",3,"6.0","ppm","ppm","64","3","Rat","Sprague-Dawley","M/F","Both","Oral diet",NA,"","Duration"
9,50328,"Benzo(a)pyrene","IRIS",7.3,"combined","Brune, H., R.P. Deutsch-Wenzel, M. Habs, S. Ivankovic and D. Schmahl. 1981. Investigation of the tumorigenic response to benzo[a]pyrene in aqueous caffeine solution applied orally to Sprague-Dawley rats. J. Cancer Res. Clin. Oncol. 102(2): 153-157.","forestomach, larynx and esophagus, papillomas and carcinomas (combined)","Dose",3,"39.0","ppm","ppm","64","10","Rat","Sprague-Dawley","M/F","Both","Oral diet",NA,"","Duration"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"0.0","ppm","ppm","289","0","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"1.0","ppm","ppm","25","0","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"10.0","ppm","ppm","24","0","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"20.0","ppm","ppm","23","1","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"30.0","ppm","ppm","37","0","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"40.0","ppm","ppm","40","1","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"45.0","ppm","ppm","40","4","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"50.0","ppm","ppm","34","24","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"100.0","ppm","ppm","23","19","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
10,50328,"Benzo(a)pyrene","IRIS",7.3,"stomach/forestomach","Neal, J. and R.H. Rigdon. 1967. Gastric tumors in mice fed benzo[a]pyrene -- A quantitative study. Tex. Rep. Biol. Med. 25(4): 553-557","forestomach, squamous cell papillomas and carcinomas","Dose",10,"250.0","ppm","ppm","73","66","Mouse","Swiss","Unspecified","Both","Oral diet",NA,"up to 197","Days"
11,50555,"Reserpine","CalEPA",11,"adrenal glands","National Cancer Institute (NCI, 1982). Bioassay of Reserpine for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 193. NTIS Publication
No. PB 83165761. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.","benign and malignant adrenal tumors","Dose",3,"0.0","ppm","ppm","48","3","Rat","Fischer 344","M/F","M","Oral diet",NA,"103","Weeks"
11,50555,"Reserpine","CalEPA",11,"adrenal glands","National Cancer Institute (NCI, 1982). Bioassay of Reserpine for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 193. NTIS Publication
No. PB 83165761. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.","benign and malignant adrenal tumors","Dose",3,"5.0","ppm","ppm","49","18","Rat","Fischer 344","M/F","M","Oral diet",NA,"103","Weeks"
11,50555,"Reserpine","CalEPA",11,"adrenal glands","National Cancer Institute (NCI, 1982). Bioassay of Reserpine for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 193. NTIS Publication
No. PB 83165761. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.","benign and malignant adrenal tumors","Dose",3,"10.0","ppm","ppm","48","24","Rat","Fischer 344","M/F","M","Oral diet",NA,"103","Weeks"
12,51796,"Urethane","CalEPA",1,"lung","Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.","pulmonary adenoma","Dose",5,"0.0","mg/kg","mg/kg","40","0","Mouse","NMRI","M/F","M","Oral drinking water",NA,"","Duration"
12,51796,"Urethane","CalEPA",1,"lung","Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.","pulmonary adenoma","Dose",5,"0.1","mg/kg","mg/kg","40","6","Mouse","NMRI","M/F","M","Oral drinking water",NA,"","Duration"
12,51796,"Urethane","CalEPA",1,"lung","Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.","pulmonary adenoma","Dose",5,"0.5","mg/kg","mg/kg","40","14","Mouse","NMRI","M/F","M","Oral drinking water",NA,"","Duration"
12,51796,"Urethane","CalEPA",1,"lung","Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.","pulmonary adenoma","Dose",5,"2.5","mg/kg","mg/kg","40","14","Mouse","NMRI","M/F","M","Oral drinking water",NA,"","Duration"
12,51796,"Urethane","CalEPA",1,"lung","Schmähl D, Port R, Wahrendorf J. 1977. A dose-response study on urethane carcinogenicity in rats and mice. Int J Cancer, 19:77-80.","pulmonary adenoma","Dose",5,"12.5","mg/kg","mg/kg","40","14","Mouse","NMRI","M/F","M","Oral drinking water",NA,"","Duration"
13,52244,"Tris(1-aziridinyl)phosphine sulfide","CalEPA",12,"blood","National Cancer Institute (NCI, 1978). Bioassay ofTris(1-aziridinyI)phosphine Sulfide (Thiotepa) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 58. NTIS Publication No. PB 285702. US Department of Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.","leukemia (combined lymphocytic and granulocytic)","Dose",3,"0.0","mg/kg bw","mg/kg bw","19","0","Rat","Sprague-Dawley","M/F","M","Other",NA,"104","Weeks"
13,52244,"Tris(1-aziridinyl)phosphine sulfide","CalEPA",12,"blood","National Cancer Institute (NCI, 1978). Bioassay ofTris(1-aziridinyI)phosphine Sulfide (Thiotepa) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 58. NTIS Publication No. PB 285702. US Department of Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.","leukemia (combined lymphocytic and granulocytic)","Dose",3,"0.7","mg/kg bw","mg/kg bw","37","5","Rat","Sprague-Dawley","M/F","M","Other",NA,"104","Weeks"
13,52244,"Tris(1-aziridinyl)phosphine sulfide","CalEPA",12,"blood","National Cancer Institute (NCI, 1978). Bioassay ofTris(1-aziridinyI)phosphine Sulfide (Thiotepa) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 58. NTIS Publication No. PB 285702. US Department of Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.","leukemia (combined lymphocytic and granulocytic)","Dose",3,"1.4","mg/kg bw","mg/kg bw","30","6","Rat","Sprague-Dawley","M/F","M","Other",NA,"104","Weeks"
14,52244,"Tris(1-aziridinyl)phosphine sulfide","CalEPA",12,"female repro","National Cancer Institute (NCI, 1978). Bioassay ofTris(1-aziridinyI)phosphine Sulfide (Thiotepa) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 58. NTIS Publication No. PB 285702. US Department of Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.","uterine adenocarcinoma","Dose",3,"0.0","mg/kg-bw","mg/kg-bw","20","0","Rat","Sprague-Dawley","M/F","F","Other",NA,"104","Weeks"
14,52244,"Tris(1-aziridinyl)phosphine sulfide","CalEPA",12,"female repro","National Cancer Institute (NCI, 1978). Bioassay ofTris(1-aziridinyI)phosphine Sulfide (Thiotepa) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 58. NTIS Publication No. PB 285702. US Department of Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.","uterine adenocarcinoma","Dose",3,"0.7","mg/kg-bw","mg/kg-bw","30","2","Rat","Sprague-Dawley","M/F","F","Other",NA,"104","Weeks"
14,52244,"Tris(1-aziridinyl)phosphine sulfide","CalEPA",12,"female repro","National Cancer Institute (NCI, 1978). Bioassay ofTris(1-aziridinyI)phosphine Sulfide (Thiotepa) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 58. NTIS Publication No. PB 285702. US Department of Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.","uterine adenocarcinoma","Dose",3,"1.4","mg/kg-bw","mg/kg-bw","32","7","Rat","Sprague-Dawley","M/F","F","Other",NA,"104","Weeks"
15,53963,"2-Acetylaminofluorene","CalEPA",3.8,"liver","Ogiso T, Tatematsu M, Tamano S, Tsuda H and Ito N (1985). Comparative effects of carcinogens on the induction of placental glutathione S-transferase-positive liver nodull:s in a short-term assay and of hepatocellular carcinomas in a long-term assay.
Toxicol. Pathol. 13: 257-265.","hepatocellular carcinoma","Conv",4,"0.0","mg/kg/day","% diet","30","0","Rat","Fischer 344","M","Both","Oral diet",NA,"104","Weeks"
15,53963,"2-Acetylaminofluorene","CalEPA",3.8,"liver","Ogiso T, Tatematsu M, Tamano S, Tsuda H and Ito N (1985). Comparative effects of carcinogens on the induction of placental glutathione S-transferase-positive liver nodull:s in a short-term assay and of hepatocellular carcinomas in a long-term assay.
Toxicol. Pathol. 13: 257-265.","hepatocellular carcinoma","Conv",4,"0.13","mg/kg/day","% diet","23","3","Rat","Fischer 344","M","Both","Oral diet",NA,"104","Weeks"
15,53963,"2-Acetylaminofluorene","CalEPA",3.8,"liver","Ogiso T, Tatematsu M, Tamano S, Tsuda H and Ito N (1985). Comparative effects of carcinogens on the induction of placental glutathione S-transferase-positive liver nodull:s in a short-term assay and of hepatocellular carcinomas in a long-term assay.
Toxicol. Pathol. 13: 257-265.","hepatocellular carcinoma","Conv",4,"0.58","mg/kg/day","% diet","27","26","Rat","Fischer 344","M","Both","Oral diet",NA,"104","Weeks"
15,53963,"2-Acetylaminofluorene","CalEPA",3.8,"liver","Ogiso T, Tatematsu M, Tamano S, Tsuda H and Ito N (1985). Comparative effects of carcinogens on the induction of placental glutathione S-transferase-positive liver nodull:s in a short-term assay and of hepatocellular carcinomas in a long-term assay.
Toxicol. Pathol. 13: 257-265.","hepatocellular carcinoma","Conv",4,"2.74","mg/kg/day","% diet","23","23","Rat","Fischer 344","M","Both","Oral diet",NA,"104","Weeks"
16,55185,"N-Nitrosodiethylamine","CalEPA",36,"liver","Peto R, Gray R, Brantom P and Grasso, P. 1982. Effects on two tonnes of inbred rats of chronic ingestion of diethyl- or dimethyl-nitrosamine: An unusually detailed dose-response study. Imperial Cancer Res Fund, Cancer Studies Unit, Nuffield Department of Clinical Medicine, Radcliffe Infirmary, Oxford.","fatal liver tumors","Dose",16,"0.0","ppm water","ppm water","240","1","Rat","Colworth","M/F","M","Oral drinking water",NA,"lifetime","Duration"
